study_hours,attendance,participation,extra_curricular,sleep_hours,stress_level,motivation_score,parent_education,previous_gpa,assignment_completion,grade
17.9,91.2,1.3,0.3,7.2,3.5,1.7,0,9.45,45.1,C
8.7,68.8,8.0,0.8,7.7,6.9,5.8,2,7.18,59.5,C
9.6,79.2,9.6,0.6,5.7,7.2,2.8,3,5.62,67.0,C
5.1,64.9,9.9,7.9,6.1,5.9,8.6,1,10.0,45.3,B
8.6,65.2,3.6,0.3,5.4,9.4,6.0,3,5.72,66.8,F
6.8,79.0,3.8,6.3,6.4,8.8,8.3,0,6.0,44.9,C
7.2,78.6,8.2,0.4,6.7,8.8,9.3,2,10.0,85.9,B
21.6,70.7,0.3,0.4,6.3,9.7,5.9,1,6.9,58.7,D
0.3,84.5,6.5,0.5,5.0,1.6,8.0,0,5.98,99.7,C
16.2,70.6,6.9,0.2,6.1,5.6,10.0,2,7.65,58.4,B
7.8,76.5,1.9,1.4,7.7,4.7,8.4,1,8.32,40.7,C
27.5,71.4,5.4,0.7,7.0,1.1,3.2,1,6.98,46.6,B
0.9,63.7,3.2,4.0,6.5,5.3,4.4,2,5.7,87.1,F
5.8,86.1,0.4,7.0,5.9,5.2,6.7,1,8.12,78.2,C
8.7,79.1,6.8,0.1,8.6,1.8,7.4,0,5.8,57.8,B
23.9,92.2,2.7,0.1,7.4,1.7,9.7,2,8.5,77.5,B
7.4,85.7,5.3,0.1,8.0,9.7,8.2,3,9.18,84.9,B
11.8,65.5,4.4,2.8,4.1,9.5,3.2,0,6.68,93.2,D
3.3,88.1,4.6,5.5,5.5,7.6,8.0,0,5.45,72.7,C
19.7,92.9,7.3,2.3,6.5,6.3,5.6,2,7.85,81.3,B
11.4,75.0,2.5,3.9,6.5,9.9,1.9,2,8.92,52.2,D
20.7,92.4,5.5,0.0,5.8,7.8,1.3,1,5.82,97.5,B
8.7,68.2,7.2,6.5,4.0,6.3,4.5,0,9.52,40.2,D
2.3,71.4,6.4,0.2,9.6,6.2,6.1,1,10.0,80.6,B
6.6,91.4,7.1,4.7,5.7,5.7,5.0,0,6.35,66.0,C
13.6,65.7,6.4,4.6,8.7,2.1,4.7,0,6.45,74.3,B
4.8,71.7,5.2,1.1,7.4,9.5,3.3,3,8.55,90.5,D
19.7,77.7,4.4,3.9,8.6,7.9,2.4,0,5.5,85.1,C
15.1,66.3,2.5,7.1,5.4,3.2,3.4,1,6.55,86.6,C
17.6,48.9,3.5,6.9,7.6,1.2,7.0,1,7.1,96.2,C
16.1,64.7,5.7,1.9,7.2,9.7,6.5,3,5.78,49.1,D
12.7,65.8,8.6,3.8,6.6,1.6,7.4,1,5.75,67.5,C
5.8,72.6,4.1,3.2,8.9,5.9,1.6,2,9.1,67.6,C
13.4,79.5,2.0,6.3,8.4,8.9,8.8,3,6.55,99.1,D
17.2,66.3,6.6,5.2,6.5,4.4,8.0,1,4.25,87.6,C
18.5,78.8,1.6,3.6,7.5,8.1,3.9,1,6.5,51.1,D
11.8,69.2,8.8,4.9,6.7,5.5,9.7,2,7.4,80.1,B
5.5,92.2,7.2,6.6,9.6,1.7,7.6,3,7.5,89.1,B
21.6,76.0,3.6,2.0,8.1,8.5,4.0,2,7.82,89.6,C
13.8,97.4,6.5,2.9,6.1,4.2,8.6,3,7.6,78.0,B
20.4,73.2,8.4,1.0,7.1,6.8,7.2,3,4.1,52.8,B
15.7,85.6,2.6,7.1,7.8,7.0,6.0,0,6.8,67.6,C
9.6,75.7,0.4,4.0,5.4,9.3,3.5,1,6.35,94.6,D
14.9,66.8,8.3,1.0,7.8,8.9,2.0,1,7.55,45.8,C
3.2,90.6,0.5,7.0,5.5,8.7,7.0,0,8.35,51.1,D
13.7,78.8,0.6,5.3,7.9,6.4,2.0,2,8.48,92.7,C
7.4,95.7,6.0,6.7,6.1,5.0,6.5,0,8.82,82.2,A
24.0,100.0,9.5,2.8,6.3,7.7,5.6,1,6.08,55.3,B
25.3,75.4,2.0,2.8,4.0,3.5,2.9,1,6.7,40.5,C
15.6,55.5,9.3,1.5,6.6,1.8,6.6,0,6.52,70.4,C
8.9,73.2,3.9,1.6,5.7,4.7,9.2,0,8.15,58.6,B
9.7,97.3,1.1,1.5,7.6,5.1,4.3,0,6.68,85.1,C
17.6,92.1,0.1,3.0,4.4,9.2,6.5,1,7.57,47.2,C
5.9,76.5,5.8,0.1,4.2,2.1,6.0,0,8.9,79.1,C
12.4,66.7,7.9,1.8,5.2,8.2,8.4,0,4.28,74.9,D
29.3,64.9,4.3,0.5,6.0,9.0,4.1,2,8.98,60.4,B
16.5,58.5,2.2,10.0,8.0,5.1,7.2,0,6.92,41.7,D
16.8,76.9,1.6,0.1,6.1,7.8,5.1,1,7.85,47.0,D
11.8,59.5,3.4,2.3,4.7,2.4,6.0,2,9.35,90.0,C
4.2,76.0,2.7,10.0,5.9,6.0,4.1,3,5.4,66.6,D
10.8,88.8,6.2,0.7,5.9,5.3,5.9,1,6.85,53.7,C
21.6,73.3,7.9,1.0,6.4,9.8,5.4,1,5.25,91.8,C
17.6,69.3,5.1,2.0,7.8,9.8,4.7,3,7.32,89.7,C
22.8,76.2,4.4,5.6,6.3,5.6,6.6,1,8.5,95.6,B
7.4,91.2,3.0,1.3,5.7,2.9,9.6,3,8.3,40.5,C
15.0,84.2,1.4,4.2,7.3,7.9,8.6,3,8.77,76.8,C
17.3,58.4,3.5,0.4,4.2,1.7,5.5,1,7.32,87.7,C
24.0,68.8,2.8,4.9,6.3,9.2,3.9,0,8.05,68.6,C
14.1,92.4,1.2,6.6,4.0,6.3,6.6,0,7.28,44.3,D
15.8,84.1,5.2,0.5,5.6,5.5,3.6,3,8.32,48.0,C
18.0,78.2,7.1,0.2,7.5,3.8,1.9,2,5.7,61.6,B
9.2,80.3,9.1,1.4,6.4,4.5,6.7,3,9.98,82.2,A
26.2,90.7,7.8,3.1,6.3,9.6,5.5,3,6.32,66.0,C
14.8,76.2,4.2,5.2,6.0,6.9,5.3,3,7.72,92.8,B
9.8,73.0,7.4,1.1,5.1,7.4,2.8,0,9.48,93.4,C
4.7,66.0,8.4,0.0,4.7,1.2,2.1,0,5.3,64.8,F
12.6,78.2,9.6,2.2,5.1,8.0,8.0,0,8.68,71.3,C
14.2,96.6,3.7,0.0,7.7,9.8,8.6,3,4.97,41.4,C
29.0,66.8,0.7,0.8,6.4,7.7,5.3,2,4.53,43.5,C
21.5,70.6,1.4,2.9,7.0,2.3,8.3,0,9.12,78.2,A
5.2,75.2,4.7,6.6,6.1,2.3,1.1,1,7.22,77.9,D
22.6,80.2,6.8,0.2,7.5,5.1,5.9,1,6.08,66.0,C
9.8,82.5,9.6,0.7,4.6,4.9,6.3,1,7.7,44.4,C
11.7,78.2,1.6,1.9,5.3,6.8,7.0,3,8.25,49.8,C
12.7,75.5,6.3,0.8,7.6,7.6,1.9,1,6.32,65.7,C
12.0,70.2,9.2,10.0,4.9,7.8,9.3,3,4.6,97.1,D
17.4,59.0,6.6,0.8,6.5,3.0,1.4,1,5.58,42.2,C
11.7,85.0,5.8,2.2,5.5,4.2,9.0,2,8.43,96.8,B
21.0,40.0,5.9,0.6,7.6,2.9,1.6,3,6.38,44.1,D
15.6,82.9,6.9,4.4,5.4,8.9,5.9,1,7.62,56.9,C
9.9,47.3,9.7,0.8,5.2,3.1,1.0,0,5.38,83.8,C
28.1,69.9,7.1,5.1,5.9,9.1,8.3,3,5.3,99.1,B
24.6,80.7,7.1,0.5,7.0,9.6,1.4,0,9.1,55.9,C
20.4,81.0,5.1,1.4,7.8,5.2,9.3,0,8.5,81.7,B
19.1,84.5,3.4,10.0,7.0,7.5,6.1,0,8.18,96.8,C
9.9,88.2,0.3,5.5,6.4,3.1,7.3,0,7.68,89.0,C
7.0,78.5,1.8,4.8,4.0,2.2,8.8,1,8.65,49.4,C
4.3,85.4,6.2,2.5,6.6,3.6,3.8,1,6.05,61.2,D
23.7,76.2,2.9,1.7,5.2,1.5,4.4,3,8.85,96.7,B
22.1,62.1,1.0,1.0,5.9,9.8,1.6,3,4.5,71.1,D
10.4,98.4,4.0,0.9,6.4,3.4,3.6,3,4.82,79.4,C
19.0,74.7,6.2,3.1,7.9,6.5,3.8,1,8.52,56.3,B
16.3,81.3,7.0,3.4,6.2,6.2,3.3,3,6.92,67.0,C
13.8,65.8,1.0,0.0,5.5,7.7,9.2,0,6.8,66.0,D
3.9,77.0,6.4,0.8,5.9,2.8,8.9,1,7.4,84.3,C
8.1,69.4,6.1,3.4,7.0,8.4,9.4,3,7.68,72.7,C
5.3,98.5,3.7,7.6,7.8,3.4,4.3,0,10.0,93.7,A
25.2,86.3,4.3,1.8,7.1,1.6,8.4,3,7.28,57.5,B
17.1,78.0,9.3,0.3,5.9,6.9,3.3,2,9.18,49.6,B
5.2,89.6,2.9,1.1,6.6,5.8,4.2,3,4.5,61.2,C
23.6,61.6,9.4,6.3,6.2,6.0,5.5,2,5.72,51.6,B
16.4,85.3,6.1,0.5,5.3,7.2,3.1,3,7.8,47.1,C
20.5,83.1,1.1,0.8,9.4,3.2,1.5,3,7.65,63.5,C
5.7,100.0,4.3,2.3,7.8,2.5,5.5,1,8.58,64.7,B
17.7,67.0,3.4,0.5,5.3,4.5,9.1,1,7.98,52.3,D
6.1,64.7,6.9,0.9,8.0,8.4,8.6,2,7.2,69.1,C
8.1,74.4,4.7,0.2,8.0,9.1,2.8,1,6.32,44.0,D
22.4,80.5,8.0,1.7,5.2,4.2,4.4,0,5.98,44.1,C
0.8,89.6,2.2,3.3,6.3,8.2,8.0,0,7.0,72.9,C
15.6,94.9,6.7,2.9,5.6,2.8,9.0,2,7.8,85.0,A
11.7,81.7,6.3,0.5,8.7,3.4,2.8,0,6.68,58.8,C
9.0,88.8,0.8,3.6,7.9,6.9,8.2,0,6.38,56.3,D
26.8,91.3,1.9,3.6,7.1,3.4,7.0,3,4.95,88.9,B
16.7,71.5,4.3,0.1,6.1,6.0,1.4,1,7.72,80.0,C
8.8,74.5,8.3,5.6,7.1,1.6,1.9,0,4.7,99.9,B
13.4,75.1,3.6,4.6,4.3,6.9,3.1,0,7.95,40.9,D
15.9,100.0,8.6,2.7,6.7,7.8,5.0,1,7.02,82.4,C
8.4,52.8,10.0,10.0,7.8,7.4,6.3,0,7.82,43.2,B
8.0,76.1,5.0,3.5,7.7,3.5,2.4,0,9.0,78.2,C
8.0,71.6,1.7,0.1,7.1,7.3,8.5,1,9.0,88.2,C
23.4,74.2,2.8,7.6,8.6,4.2,1.5,3,9.35,41.9,C
19.2,85.5,8.9,0.7,5.4,8.2,10.0,0,8.5,41.8,B
12.8,76.6,3.4,0.2,6.3,1.6,2.9,1,5.88,53.8,D
13.3,75.1,7.6,10.0,4.5,8.2,3.9,0,6.3,58.0,D
6.4,64.3,2.1,5.0,6.0,8.8,2.4,0,5.6,45.0,F
14.4,81.6,5.1,0.5,4.8,5.4,1.7,3,8.18,67.6,C
16.6,50.1,5.7,3.3,7.1,3.8,5.8,2,7.55,90.4,C
10.5,98.4,8.4,1.3,6.2,4.0,5.1,2,8.58,85.7,B
10.3,62.9,4.9,3.1,6.9,4.3,7.0,1,4.72,48.5,D
18.8,71.5,2.9,7.9,6.6,2.3,4.4,2,7.68,87.9,C
10.2,83.6,6.7,0.7,7.0,3.2,3.4,1,6.55,40.0,C
19.5,83.5,3.5,0.3,7.5,1.4,3.6,2,6.95,52.5,C
6.6,75.5,4.9,1.7,5.9,8.4,2.5,3,9.07,41.8,D
4.5,80.6,5.0,0.2,6.6,4.9,8.6,1,6.22,49.6,C
9.6,67.3,1.7,1.4,6.0,7.8,2.1,2,8.88,86.4,C
7.0,86.0,0.2,5.3,8.3,3.1,4.1,3,7.2,41.8,C
11.8,60.5,3.2,5.7,5.4,3.5,9.7,2,8.43,40.6,C
22.9,75.2,2.6,1.3,5.9,9.4,1.6,0,5.28,45.5,D
6.4,83.8,2.5,1.9,7.9,7.8,6.2,0,8.18,94.3,C
23.2,99.0,8.8,6.8,6.2,7.2,3.4,3,7.9,51.4,B
6.1,98.6,4.9,1.1,4.9,2.5,2.0,0,9.98,72.8,C
15.1,80.4,5.7,3.2,6.2,3.9,1.1,0,8.3,89.6,C
20.2,76.8,2.1,0.2,8.3,1.3,6.9,1,7.9,71.9,C
28.2,67.7,0.5,3.5,4.7,6.5,3.3,2,6.65,74.7,C
24.8,74.1,8.1,1.2,4.7,8.6,3.0,1,2.75,62.9,C
27.6,73.3,1.2,8.1,6.9,1.3,5.3,2,9.93,64.5,B
3.3,84.0,4.2,0.4,7.2,7.0,1.7,0,7.22,61.3,F
18.0,92.4,2.6,0.3,5.2,7.1,6.9,1,4.32,44.2,D
17.9,74.5,5.6,0.8,8.6,9.6,3.0,2,7.02,93.2,B
20.5,97.6,4.3,3.9,6.1,8.5,5.9,2,7.4,90.7,C
4.7,72.3,5.1,1.1,4.3,1.4,3.4,1,8.15,40.4,C
5.7,85.0,4.0,4.6,6.6,6.9,7.2,3,6.5,47.2,D
30.0,93.1,1.7,1.6,7.0,1.8,4.5,2,7.38,46.0,C
13.2,73.7,4.2,0.2,6.6,4.5,1.3,0,6.22,75.0,C
11.6,77.1,2.8,3.7,7.1,4.4,5.9,2,6.6,43.0,C
15.6,69.5,9.3,0.3,4.1,8.8,1.8,0,6.08,52.7,F
8.3,49.6,5.7,4.9,5.8,2.3,3.4,1,7.68,61.7,C
8.3,73.0,1.9,3.1,7.1,9.1,3.7,2,6.5,53.8,F
8.2,89.7,4.0,0.5,5.6,7.0,3.4,0,9.0,44.9,C
22.2,86.5,6.2,1.6,4.3,6.1,8.7,0,5.82,52.1,C
9.8,81.5,8.2,0.1,5.4,7.9,3.3,1,5.98,91.9,D
11.4,96.3,5.8,1.7,7.6,3.0,7.2,2,5.85,54.0,B
12.7,81.9,7.3,1.3,7.4,4.0,5.2,2,6.95,40.8,C
17.6,100.0,1.7,1.1,6.8,1.5,9.0,1,7.12,74.6,B
26.1,68.4,9.2,1.6,7.0,3.6,5.7,2,5.9,81.9,B
12.6,79.8,0.0,1.0,7.3,6.7,6.3,1,5.3,41.0,D
30.3,86.5,0.9,5.3,6.8,1.9,4.6,2,7.98,83.7,B
20.6,94.3,0.1,2.3,7.2,1.8,5.9,3,10.0,62.8,C
23.3,70.6,1.8,10.0,8.2,8.9,10.0,2,3.28,75.0,C
12.0,66.7,3.2,0.4,5.4,6.2,7.2,0,7.5,82.0,C
12.2,95.3,0.3,1.0,9.0,8.6,2.8,0,5.48,47.5,C
8.5,67.2,2.3,3.0,8.9,3.3,3.8,3,6.98,76.8,C
19.9,100.0,7.0,2.4,7.3,1.2,3.8,2,6.62,43.4,A
24.8,97.5,4.5,1.6,6.8,9.7,4.4,0,5.52,43.7,C
8.0,69.8,1.2,6.4,4.3,6.9,5.0,0,4.97,78.9,D
17.1,63.7,5.8,1.5,5.5,4.5,2.5,2,6.45,84.1,B
29.8,89.0,5.4,0.2,7.5,4.6,3.7,1,7.2,48.6,B
4.9,95.9,0.8,1.9,7.8,8.1,3.5,2,7.65,96.5,C
0.8,83.7,8.1,9.0,5.7,5.0,6.8,1,6.4,62.9,C
17.1,71.6,0.5,5.2,6.9,4.2,8.2,3,8.82,73.3,B
28.1,99.0,5.4,2.8,7.2,6.1,2.7,3,5.07,43.6,B
13.5,64.3,4.4,0.5,5.9,4.5,1.5,0,6.18,63.9,F
25.1,80.3,0.6,0.2,8.5,8.9,6.0,0,9.85,97.6,B
19.7,75.4,1.3,0.4,4.5,4.2,9.9,0,7.18,81.1,C
4.0,99.2,4.2,0.1,5.3,1.9,9.6,1,6.22,76.0,C
21.9,75.4,8.0,3.4,4.8,9.3,1.7,0,10.0,56.8,B
7.5,73.8,2.2,1.5,6.9,2.6,8.2,2,6.9,60.1,C
20.2,83.7,0.6,3.5,6.2,5.9,4.6,1,5.4,71.2,D
16.1,64.0,4.2,1.3,8.3,2.5,5.2,3,9.78,73.2,C
15.9,76.1,5.6,0.9,7.2,8.2,7.6,1,9.68,76.6,C
6.7,60.3,2.9,0.0,4.3,7.6,1.2,0,6.95,75.1,F
27.3,92.3,9.0,0.7,7.6,6.4,8.3,2,7.28,65.8,A
17.9,68.5,2.5,1.1,9.0,4.8,6.5,2,9.0,44.9,C
8.9,73.2,6.5,3.3,6.4,6.1,7.0,0,8.5,80.7,C
20.9,83.4,1.4,5.9,9.0,3.2,7.8,2,7.0,85.6,B
3.4,79.3,3.0,4.6,7.4,9.7,4.5,1,8.58,47.8,C
18.7,60.5,4.3,3.1,5.5,4.6,3.4,1,8.15,51.9,C
11.9,81.2,1.8,9.4,4.7,1.6,5.4,0,5.28,46.5,D
7.8,86.6,8.6,4.3,7.0,9.5,7.1,2,5.75,59.9,B
15.5,69.3,8.6,0.4,6.3,7.0,7.8,3,7.5,88.7,B
13.6,69.3,6.8,0.9,6.4,1.5,7.5,1,7.1,68.5,C
18.7,92.8,7.2,2.1,5.5,8.5,8.5,1,10.0,82.6,A
17.9,85.3,4.1,6.5,7.8,3.4,3.2,1,9.18,96.5,B
7.2,78.5,3.6,1.3,4.0,8.9,5.5,1,8.43,70.5,D
22.5,99.0,7.9,0.7,7.1,4.8,5.1,3,8.6,55.4,A
18.8,76.5,0.5,0.7,4.8,1.0,9.2,0,6.38,90.6,C
15.9,74.5,4.3,0.4,4.0,4.4,6.6,1,7.28,83.1,C
14.2,54.4,5.1,5.9,6.2,9.9,5.3,2,9.25,99.2,C
16.9,71.2,0.1,1.5,7.3,4.0,8.4,3,6.18,40.0,D
19.2,83.7,3.8,6.3,6.5,4.0,2.0,1,8.38,97.2,B
16.5,72.1,1.2,3.0,6.7,1.7,9.6,2,8.95,54.8,B
14.8,74.1,9.3,7.2,5.7,3.6,4.4,1,5.68,63.6,C
17.3,67.2,8.0,4.0,5.3,5.9,1.8,0,7.62,62.6,D
14.9,76.5,3.9,8.9,7.0,2.0,9.8,3,6.18,62.9,B
22.3,74.0,9.2,6.6,7.9,1.6,4.0,0,7.72,58.8,B
15.2,82.6,1.3,0.7,5.6,6.8,6.4,3,5.48,81.8,C
5.8,76.3,1.1,6.5,8.1,1.2,7.2,1,5.35,59.0,C
13.4,75.7,3.0,0.3,5.2,3.8,9.3,1,6.92,49.7,C
15.5,100.0,1.7,7.4,5.2,7.8,4.0,3,4.77,97.1,C
29.3,75.6,9.2,1.7,6.9,5.0,5.4,2,6.85,61.1,B
21.6,90.8,8.5,1.4,8.2,8.2,8.6,2,8.07,63.7,B
5.0,74.1,6.3,0.6,6.9,2.8,3.6,1,9.43,84.9,C
18.0,46.9,5.3,3.7,6.1,2.1,2.9,1,4.58,40.1,C
11.3,80.1,6.0,3.9,4.3,6.8,1.6,0,8.3,93.8,C
18.3,96.1,8.5,1.2,7.1,2.6,4.9,1,7.65,49.9,B
26.1,70.7,3.2,2.5,7.0,4.9,9.6,3,8.32,83.2,B
20.2,69.5,5.6,2.8,6.0,6.6,9.7,2,5.35,83.7,B
11.6,65.4,6.0,2.0,4.0,5.7,2.8,2,7.52,88.3,C
6.9,57.6,9.3,7.7,4.0,7.6,1.3,0,7.05,68.5,D
6.3,82.3,0.9,10.0,9.4,3.1,5.4,2,7.57,65.7,C
